LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,Location 1
M034,P.S. 034 Franklin D. Roosevelt,730 EAST  12 STREET,991163,203782,103,2,2800,1003810038,MN28,Lower East Side                                                            ,ANGELIKI LOUKATOS,1,M801,COMMUNITY SCHOOL DISTRICT 01,"730 EAST 12 STREET
MANHATTAN, NY 10009
(40.726008, -73.975058)"
M140,P.S. 140 Nathan Straus,123 RIDGE STREET,988749,201282,103,1,2201,1003440001,MN28,Lower East Side                                                            ,MELISSA RODRIGUEZ,1,M801,COMMUNITY SCHOOL DISTRICT 01,"123 RIDGE STREET
MANHATTAN, NY 10002
(40.719148, -73.983769)"
M184,P.S. 184m Shuang Wen,327 CHERRY STREET,988287,198359,103,1,201,1002450007,MN28,Lower East Side                                                            ,Iris Chiu,1,M801,COMMUNITY SCHOOL DISTRICT 01,"327 CHERRY STREET
MANHATTAN, NY 10002
(40.711125, -73.985438)"
M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,Suany Ramos,1,M801,COMMUNITY SCHOOL DISTRICT 01,"442 EAST HOUSTON STREET
NEW YORK, NY 10002
(40.719888, -73.97738)"
M301,"Technology, Arts, and Sciences Studio",185 1 AVENUE,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,GEORGE MORGAN,1,M801,COMMUNITY SCHOOL DISTRICT 01,"185 1 AVENUE
MANHATTAN, NY 10003
(40.730009, -73.984496)"
M332,University Neighborhood Middle School,220 HENRY STREET,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,LAURA PEYNADO CASTRO,1,M801,COMMUNITY SCHOOL DISTRICT 01,"220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
M378,School for Global Leaders,145 STANTON STREET,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,Keri Ricks,1,M801,COMMUNITY SCHOOL DISTRICT 01,"145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
M450,East Side Community School,420 EAST 12 STREET,989108,204927,103,2,3400,1004390017,MN22,East Village                                                               ,MARK FEDERMAN,1,HS12,NULL,"420 EAST 12 STREET
MANHATTAN, NY 10009
(40.729152, -73.982472)"
M539,"New Explorations into Science, Technology and Math",111 COLUMBIA STREET,989910,201380,103,2,2201,1003350001,MN28,Lower East Side                                                            ,MARK BERKOWITZ,1,HS04,NULL,"111 COLUMBIA STREET
MANHATTAN, NY 10002
(40.719416, -73.979581)"
M839,Tompkins Square Middle School,600 EAST  6 STREET,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,SONHANDO ESTWICK,1,M801,COMMUNITY SCHOOL DISTRICT 01,"600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
M104,J.H.S. 104 Simon Baruch,330 EAST  21 STREET,989506,207378,106,2,6400,1009260001,MN21,Gramercy                                                                   ,Rocco Macri,2,M802,COMMUNITY SCHOOL DISTRICT 02,"330 EAST 21 STREET
MANHATTAN, NY 10010
(40.735879, -73.981034)"
M114,East Side Middle School,331 EAST 91ST STREET,998823,223621,108,5,15400,1015540032,MN32,Yorkville                                                                  ,DAVID GETZ,2,M802,COMMUNITY SCHOOL DISTRICT 02,"331 EAST 91ST STREET
MANHATTAN, NY 10128
(40.780452, -73.947379)"
M126,P.S. 126 Jacob August Riis,80 CATHERINE STREET,984965,198186,103,1,2500,1001110160,MN27,Chinatown                                                                  ,Carlos Romero,2,M802,COMMUNITY SCHOOL DISTRICT 02,"80 CATHERINE STREET
MANHATTAN, NY 10038
(40.710651, -73.99742)"
M131,M.S. 131,100 HESTER STREET,986022,200219,103,1,1600,1003010003,MN27,Chinatown                                                                  ,PHYLLIS TAM,2,M802,COMMUNITY SCHOOL DISTRICT 02,"100 HESTER STREET
MANHATTAN, NY 10002
(40.716231, -73.993607)"
M167,J.H.S. 167 Robert F. Wagner,220 EAST  76 STREET,995931,220373,108,4,13400,1014300005,MN31,Lenox Hill-Roosevelt Island                                                ,Jennifer Rehn,2,M802,COMMUNITY SCHOOL DISTRICT 02,"220 EAST 76 STREET
MANHATTAN, NY 10021
(40.771541, -73.957827)"
M177,Yorkville East Middle School,1458 YORK AVENUE,997893,219891,108,5,13200,1014890001,MN31,Lenox Hill-Roosevelt Island                                                ,Christina Riggio,2,M802,COMMUNITY SCHOOL DISTRICT 02,"1458 YORK AVENUE
MANHATTAN, NY 10075
(40.770215, -73.950745)"
M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,996320,213836,108,5,23801,1013730001,MN31,Lenox Hill-Roosevelt Island                                                ,MANDANA BECKMAN,2,M802,COMMUNITY SCHOOL DISTRICT 02,"645 MAIN STREET
MANHATTAN, NY 10044
(40.753598, -73.956435)"
